Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2012/11/27,482.72,-0.560%,6.179436775,-0.005618921,0.009914943,0.15739484,,,
2012/11/28,479.34,-0.700%,6.172410158,-0.007026618,0.007187359,0.114095792,,,
2012/11/29,485.92,1.373%,6.186044001,0.013633844,0.009351913,0.148457014,,,
2012/11/30,488.11,0.451%,6.19054079,0.004496789,0.008962256,0.14227141,,,
2012/12/3,488.51,0.082%,6.191359942,0.000819152,0.008363174,0.132761276,,,
2012/12/4,483.65,-0.995%,6.181361505,-0.009998437,0.009425696,0.14962829,,,
2012/12/5,481.2,-0.507%,6.176282984,-0.005078521,0.009076538,0.144085576,,,
2012/12/6,474.07,-1.482%,6.16135499,-0.014927994,0.007867461,0.124892077,,,
2012/12/7,472.45,-0.342%,6.157931921,-0.003423069,0.006089455,0.096667108,,,
2012/12/10,472.1,-0.074%,6.157190828,-0.000741094,0.005642829,0.089577131,,,
2012/12/11,473.08,0.208%,6.159264507,0.00207368,0.006472011,0.102739984,,,
2012/12/12,478.5,1.146%,6.170656211,0.011391704,0.009524318,0.151193868,,,
2012/12/13,473.55,-1.034%,6.160257504,-0.010398707,0.007972294,0.126556246,,,
2012/12/14,477.82,0.902%,6.169234093,0.008976589,0.00862822,0.136968746,,,
2012/12/17,477.75,-0.015%,6.169087583,-0.000146509,0.008580475,0.136210822,,,
2012/12/18,481.38,0.760%,6.176656979,0.007569396,0.008878355,0.140939522,,,
2012/12/19,486.72,1.109%,6.187689009,0.01103203,0.008799317,0.139684828,,,
2012/12/20,486.87,0.031%,6.187997147,0.000308138,0.005142943,0.081641685,,,
2012/12/21,481.94,-1.013%,6.177819625,-0.010177522,0.008184704,0.129928152,,,
2012/12/24,480.6,-0.278%,6.175035323,-0.002784302,0.008416584,0.133609132,,,
2012/12/26,489.87,1.929%,6.19414005,0.019104726,0.011586565,0.183931016,,,
2012/12/27,489.63,-0.049%,6.193650004,-0.000490046,0.010834589,0.171993767,,,
2012/12/28,488.12,-0.308%,6.190561277,-0.003088727,0.011008977,0.17476209,,,
2012/12/31,490.33,0.453%,6.195078634,0.004517357,0.009264922,0.147076077,,,
2013/1/2,497.01,1.362%,6.208610147,0.013531513,0.009391826,0.149090608,,,
2013/1/3,494.87,-0.431%,6.204295102,-0.004315045,0.007267794,0.115372654,,,
2013/1/4,492.85,-0.408%,6.200204868,-0.004090234,0.007742819,0.122913434,,,
